Test(0);NodesCount: 768;ChanceToJoin: 72;IsPlanar: True;DistanceBetweenPoints: 73
Test(21);NodesCount: 1070;ChanceToJoin: 74;IsPlanar: True;DistanceBetweenPoints: 63
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0036714;494;27;44
AStar;00:00:00.0063444;207;27;44
DIJKSTRA;00:00:00.0089313;479;27;44
RandomizedWalk;00:00:00.0617091;339;0;48
RandomizedDFS;00:00:00.0107515;576;83;136
BidirectionalBFS;00:00:00.0604204;342;33;44
BidirectionalDFS;00:00:00.0575596;328;69;148
DFS;00:00:00.0025366;282;59;138
;;;;
Test(22);NodesCount: 738;ChanceToJoin: 42;IsPlanar: True;DistanceBetweenPoints: 41
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0025480;352;21;29
AStar;00:00:00.0032177;114;18;29
DIJKSTRA;00:00:00.0055452;336;20;29
RandomizedWalk;00:00:00.1678770;539;0;29
RandomizedDFS;00:00:00.0095164;557;67;101
BidirectionalBFS;00:00:00.1727921;98;14;29
BidirectionalDFS;00:00:00.1706906;91;18;39
DFS;00:00:00.0012603;143;29;41
;;;;
Test(23);NodesCount: 674;ChanceToJoin: 61;IsPlanar: True;DistanceBetweenPoints: 72
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0041216;455;26;39
AStar;00:00:00.0059668;174;22;39
DIJKSTRA;00:00:00.0084855;425;26;39
RandomizedWalk;00:00:00.1287560;565;0;51
RandomizedDFS;00:00:00.0057012;175;54;121
BidirectionalBFS;00:00:00.1327224;265;28;39
BidirectionalDFS;00:00:00.1306325;233;49;97
DFS;00:00:00.0015982;158;30;73
;;;;
Test(24);NodesCount: 873;ChanceToJoin: 37;IsPlanar: True;DistanceBetweenPoints: 43
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0041892;485;29;32
AStar;00:00:00.0070621;197;24;32
DIJKSTRA;00:00:00.0107532;467;29;32
RandomizedWalk;00:00:00.1091132;510;0;48
RandomizedDFS;00:00:00.0117364;481;44;86
BidirectionalBFS;00:00:00.1075867;274;36;32
BidirectionalDFS;00:00:00.1054712;194;39;100
DFS;00:00:00.0051826;542;44;104
;;;;
Test(25);NodesCount: 763;ChanceToJoin: 79;IsPlanar: True;DistanceBetweenPoints: 46
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0031171;342;26;25
AStar;00:00:00.0047074;141;28;25
DIJKSTRA;00:00:00.0057148;328;26;25
RandomizedWalk;00:00:00.0295490;269;0;53
RandomizedDFS;00:00:00.0032088;166;28;55
BidirectionalBFS;00:00:00.0456686;220;35;25
BidirectionalDFS;00:00:00.0437096;88;24;37
DFS;00:00:00.0068471;684;86;127
;;;;
Test(26);NodesCount: 694;ChanceToJoin: 79;IsPlanar: True;DistanceBetweenPoints: 75
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0052977;631;32;40
AStar;00:00:00.0113909;304;29;40
DIJKSTRA;00:00:00.0117971;621;32;40
RandomizedWalk;00:00:00.4206907;646;0;74
RandomizedDFS;00:00:00.0013056;62;26;50
BidirectionalBFS;00:00:00.4268203;260;35;40
BidirectionalDFS;00:00:00.4240598;177;44;68
DFS;00:00:00.0023565;212;48;110
;;;;
Test(27);NodesCount: 902;ChanceToJoin: 49;IsPlanar: True;DistanceBetweenPoints: 42
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0012963;162;14;20
AStar;00:00:00.0009896;43;11;20
DIJKSTRA;00:00:00.0024506;149;13;20
RandomizedWalk;00:00:00.1424366;461;0;20
RandomizedDFS;00:00:00.0005885;28;10;26
BidirectionalBFS;00:00:00.1384838;53;10;20
BidirectionalDFS;00:00:00.1367025;68;12;22
DFS;00:00:00.0005356;58;13;34
;;;;
Test(28);NodesCount: 1039;ChanceToJoin: 51;IsPlanar: True;DistanceBetweenPoints: 54
Algorithm;Time;VisitedNodes;MemoryUsage;ResultPathLength
BFS;00:00:00.0027062;341;18;28
AStar;00:00:00.0037178;115;20;28
DIJKSTRA;00:00:00.0058232;321;18;28
RandomizedWalk;00:00:00.0578670;387;0;34
RandomizedDFS;00:00:00.0013439;61;25;48
BidirectionalBFS;00:00:00.0625225;188;23;28
BidirectionalDFS;00:00:00.0601935;722;64;48
DFS;00:00:00.0120316;1029;50;62
;;;;
